player_id,player_name,position,national_team_name,matches_with_position_data,total_position_points,mean_points_per_match,median_points_per_match,weighted_mean_x,weighted_mean_y,unweighted_mean_x,unweighted_mean_y,median_x,median_y,weighted_x_std,weighted_y_std,spatial_spread,defensive_third_match_share,middle_third_match_share,attacking_third_match_share,right_wide_match_share,right_half_space_match_share,central_lane_match_share,left_half_space_match_share,left_wide_match_share,wide_lane_match_share,half_space_match_share,dominant_longitudinal_zone,dominant_lateral_lane,position_consistency_score,spatial_reliability
997152,Maxim De Cuyper,D,Belgium,6,379,63.17,68.5,50.5441,80.8636,49.4775,80.9822,50.4795,80.7112,7.0488,2.0347,7.3366,0.0,1.0,0.0,0.0,0.0,0.0,0.277,0.723,0.723,0.277,central_advanced,left_wide,0.12,1.0
96538,Lucas Digne,D,France,5,378,75.6,74.0,50.8389,86.3563,50.3208,86.4583,48.8083,86.2876,4.6717,0.8189,4.743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,central_advanced,left_wide,0.1741,1.0
818481,Jhon Lucumí,D,Colombia,5,374,74.8,73.0,34.5334,67.9893,34.9268,68.1177,35.88,68.4846,2.1506,2.9164,3.6236,0.4733,0.5267,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deep_build_up,left_half_space,0.2163,1.0
295339,Rami Rabia,D,Egypt,5,361,72.2,54.0,32.564,64.5355,31.5002,64.3784,33.9557,65.6821,3.5749,4.9847,6.1341,0.2188,0.7812,0.0,0.0,0.0,0.2936,0.7064,0.0,0.0,0.7064,deep_build_up,left_half_space,0.1402,1.0
831799,Nahuel Molina,D,Argentina,6,351,58.5,57.5,43.8624,13.604,42.3086,13.3528,41.4642,13.5532,7.9128,1.4045,8.0365,0.1026,0.8974,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,deeper_half,right_wide,0.1107,1.0
1142703,Nico O'Reilly,D,England,6,344,57.33,63.5,51.1256,80.0698,52.0327,79.2667,51.1714,80.3136,5.6547,4.0647,6.964,0.0,1.0,0.0,0.0,0.0,0.0,0.2994,0.7006,0.7006,0.2994,central_advanced,left_wide,0.1256,1.0
1413129,Luc De Fougerolles,D,Canada,5,337,67.4,71.0,44.2632,46.395,43.8245,46.0328,41.8767,42.8029,6.7632,9.3011,11.5001,0.0,1.0,0.0,0.0,0.2671,0.4985,0.2344,0.0,0.0,0.5015,deeper_half,central_lane,0.08,1.0
989801,Juan Cáceres,D,Paraguay,5,329,65.8,68.0,35.1514,15.6255,34.9864,15.8433,32.9826,15.5985,4.2446,2.7849,5.0767,0.5745,0.4255,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,deeper_half,right_wide,0.1646,1.0
829207,Richie Laryea,D,Canada,5,328,65.6,58.0,54.4677,78.9543,53.9518,79.9005,52.2118,81.5987,5.8304,5.6448,8.1153,0.0,1.0,0.0,0.0,0.0,0.0,0.4512,0.5488,0.5488,0.4512,central_advanced,left_half_space,0.1097,1.0
138892,João Cancelo,D,Portugal,5,298,59.6,55.0,51.1866,24.4772,50.4611,23.5375,49.8345,25.3806,3.7575,4.2648,5.684,0.0,1.0,0.0,0.1544,0.8456,0.0,0.0,0.0,0.1544,0.8456,central_advanced,right_half_space,0.1496,1.0
1031283,David Møller Wolfe,D,Norway,5,295,59.0,67.0,44.4024,83.3732,43.7553,83.4484,43.6313,83.3882,4.1461,1.7609,4.5046,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,deeper_half,left_wide,0.1817,1.0
770253,Jesús Gallardo,D,Mexico,5,290,58.0,72.0,49.1859,87.6679,46.0175,86.2059,44.1867,87.4272,10.409,1.9353,10.5874,0.0379,0.9621,0.0,0.0,0.0,0.0,0.0379,0.9621,0.9621,0.0379,deeper_half,left_wide,0.0863,1.0
158243,Nicolás Tagliafico,D,Argentina,5,252,50.4,46.0,49.7171,84.8143,50.1157,84.997,47.4597,84.9583,7.054,2.7234,7.5615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,deeper_half,left_wide,0.1168,1.0
945798,Djed Spence,D,England,7,285,40.71,38.0,47.8558,55.3239,45.2219,52.2315,46.9667,77.7167,7.8177,33.5311,34.4304,0.0632,0.9368,0.0,0.393,0.0,0.0,0.0632,0.5439,0.9368,0.0632,deeper_half,central_lane,0.0282,0.9875
577726,Ramy Bensebaini,D,Algeria,4,504,126.0,124.0,39.2417,68.954,39.0095,68.8056,38.5651,69.5087,1.9518,2.4612,3.1412,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.2415,0.93
122810,Aïssa Mandi,D,Algeria,4,476,119.0,120.0,40.2061,30.7895,39.9323,30.8832,41.3939,30.4309,3.5298,1.638,3.8913,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deeper_half,right_half_space,0.2044,0.93
962012,Jan Paul van Hecke,D,Netherlands,4,464,116.0,103.5,46.8416,30.6416,45.7307,30.1679,46.3223,32.5337,5.3627,4.8819,7.252,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deeper_half,right_half_space,0.1212,0.93
227672,Jonathan Tah,D,Germany,4,461,115.25,118.0,45.0208,46.0759,44.5933,45.9157,43.0507,43.3431,4.7794,6.1003,7.7496,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,deeper_half,central_lane,0.1143,0.93
151545,Virgil van Dijk,D,Netherlands,4,438,109.5,111.5,42.6765,59.5557,41.78,59.0685,40.7674,60.9615,6.0413,4.1809,7.3469,0.0,1.0,0.0,0.0,0.0,0.4909,0.5091,0.0,0.0,0.5091,deeper_half,central_lane,0.1198,0.93
931844,Chris Richards,D,USA,4,398,99.5,102.5,37.3852,38.6013,37.3749,38.6356,36.8715,38.4347,1.8176,1.6334,2.4437,0.0,1.0,0.0,0.0,0.7412,0.2588,0.0,0.0,0.0,0.7412,deeper_half,right_half_space,0.2904,0.93
118179,Tim Ream,D,USA,4,380,95.0,98.5,38.8726,70.7826,38.7267,70.7899,38.9974,70.8791,1.0747,2.2947,2.5339,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.283,0.93
758168,Moussa Niakhaté,D,Senegal,4,377,94.25,95.5,36.6578,69.778,36.7383,69.7896,36.2888,69.4957,3.2915,0.8645,3.4031,0.2467,0.7533,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.2271,0.93
1507710,Ime Okon,D,South Africa,4,359,89.75,87.5,27.3331,34.7479,27.1189,36.4251,25.3585,30.8897,4.9865,10.2036,11.3569,0.7075,0.2925,0.0,0.0,0.805,0.195,0.0,0.0,0.0,0.805,deep_build_up,right_half_space,0.0809,0.93
803174,Antonee Robinson,D,USA,4,358,89.5,88.0,51.9785,85.2126,51.6132,85.1696,50.5532,86.0295,3.5592,2.1072,4.1362,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,central_advanced,left_wide,0.1947,0.93
1155423,Alessandro Circati,D,Australia,4,357,89.25,89.5,42.251,27.0148,41.4594,28.7201,41.6019,24.0317,3.1386,10.7347,11.1841,0.0,1.0,0.0,0.3249,0.4762,0.1989,0.0,0.0,0.3249,0.4762,deeper_half,right_half_space,0.0821,0.93
