player_id,player_name,national_team_id,national_team_name,squad_entries,appearances,starts,minutes,goals,assists,xg,xa,shots,shots_on_target,passes,accurate_passes,tackles,interceptions,saves,goals_prevented,weighted_rating,pass_accuracy_pct,goals_per_90,assists_per_90,xg_per_90,xa_per_90
221162,Juan Fernando Quintero,4820,Colombia,5,4,0,117.0,0.0,1.0,0.11610000000000001,0.8540552,4.0,0.0,85.0,75.0,0.0,0.0,0.0,0.0,7.51,88.24,0.0,0.769,0.089,0.657
281253,Jhon Córdoba,4820,Colombia,5,3,2,100.0,0.0,0.0,0.3,0.049051109999999995,2.0,1.0,15.0,11.0,0.0,0.0,0.0,0.0,6.38,73.33,0.0,0.0,0.27,0.044
822110,Deiver Machado,4820,Colombia,5,1,1,90.0,0.0,0.0,0.0,0.0835168,0.0,0.0,25.0,21.0,2.0,2.0,0.0,0.0,7.1,84.0,0.0,0.0,0.0,0.084
158583,Santiago Arias,4820,Colombia,5,1,1,87.0,0.0,0.0,0.0,0.408484,0.0,0.0,41.0,34.0,3.0,2.0,0.0,0.0,7.5,82.93,0.0,0.0,0.0,0.423
877299,Jaminton Campaz,4820,Colombia,5,3,0,80.0,1.0,0.0,0.6102000000000001,0.01828427,6.0,3.0,16.0,12.0,2.0,0.0,0.0,0.0,7.39,75.0,1.125,0.0,0.686,0.021
887055,Cucho Hernández,4820,Colombia,5,2,0,48.0,0.0,1.0,0.0662,0.1353752,1.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,6.15,70.0,0.0,1.875,0.124,0.254
1066915,Kevin Castaño,4820,Colombia,5,2,0,22.0,0.0,0.0,0.0,0.019000979999999997,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,6.7,100.0,0.0,0.0,0.0,0.078
1160386,Andrés Gómez,4820,Colombia,5,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.6,,0.0,0.0,0.0,0.0
360396,Yerry Mina,4820,Colombia,5,1,0,1.0,0.0,0.0,0.0,2.66e-06,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
33596,David Ospina,4820,Colombia,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
590392,Jorge Carrascal,4820,Colombia,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
926238,Álvaro Montero,4820,Colombia,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
931705,Willer Ditta,4820,Colombia,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
980580,Juan Portilla,4820,Colombia,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
38710,Ivan Perišić,4715,Croatia,4,4,4,360.0,1.0,1.0,0.2315,0.2841317,2.0,2.0,142.0,128.0,8.0,4.0,0.0,0.0,6.95,90.14,0.25,0.25,0.058,0.071
190419,Dominik Livaković,4715,Croatia,4,4,4,360.0,0.0,0.0,0.0,0.0027481399999999996,0.0,0.0,107.0,79.0,1.0,0.0,10.0,-0.8287,6.78,73.83,0.0,0.0,0.0,0.001
927407,Josip Stanišić,4715,Croatia,4,4,4,360.0,0.0,1.0,0.0,0.42345997,0.0,0.0,128.0,112.0,4.0,4.0,0.0,0.0,6.72,87.5,0.0,0.25,0.0,0.106
954836,Josip Šutalo,4715,Croatia,4,4,4,360.0,0.0,0.0,0.1663,0.0771361,1.0,0.0,269.0,241.0,5.0,6.0,0.0,0.0,6.78,89.59,0.0,0.0,0.042,0.019
1090019,Martin Baturina,4715,Croatia,4,4,4,324.0,1.0,0.0,0.1232,0.3025519,3.0,1.0,97.0,78.0,3.0,1.0,0.0,0.0,7.2,80.41,0.278,0.0,0.034,0.084
15466,Luka Modrić,4715,Croatia,4,4,4,319.0,0.0,1.0,0.0188,0.71005384,1.0,0.0,247.0,222.0,7.0,2.0,0.0,0.0,7.12,89.88,0.0,0.282,0.005,0.2
1091303,Petar Sučić,4715,Croatia,4,4,3,288.0,1.0,1.0,0.1297,0.46762753,3.0,2.0,128.0,108.0,5.0,1.0,0.0,0.0,7.23,84.38,0.312,0.312,0.041,0.146
136710,Mateo Kovačić,4715,Croatia,4,4,3,271.0,0.0,1.0,0.3284,0.10180600000000001,5.0,4.0,205.0,197.0,5.0,2.0,0.0,0.0,6.84,96.1,0.0,0.332,0.109,0.034
847467,Marin Pongračić,4715,Croatia,4,3,3,270.0,0.0,0.0,0.0865,0.0185285,1.0,0.0,205.0,182.0,5.0,1.0,0.0,0.0,6.57,88.78,0.0,0.0,0.029,0.006
357596,Nikola Vlašić,4715,Croatia,4,3,2,189.0,1.0,0.0,0.16720000000000002,0.15367942,3.0,1.0,40.0,33.0,8.0,2.0,0.0,0.0,6.72,82.5,0.476,0.0,0.08,0.073
