stage_order,stage_code,stage_label,formation,formation_slot,position,position_order,event_id,player_id,player_name,national_team_name,opponent_team_name,minutes_played,rating,goals,assists,xg,xa
2,GROUP_MD2,Grup 2. Maçları,4-4-2,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,4-4-2,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,4-4-2,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,4-4-2,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,4-4-2,F2,F,4,15186957,862967,Cody Gakpo,Netherlands,Sweden,89.0,9.5,2.0,1.0,1.164,0.472945
2,GROUP_MD2,Grup 2. Maçları,4-5-1,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,4-5-1,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M4,M,3,15186827,159665,Mohamed Salah,Egypt,New Zealand,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,4-5-1,M5,M,3,15186798,1093229,Nathan-Dylan Saliba,Canada,Qatar,33.0,8.5,1.0,1.0,0.1423,0.178963
2,GROUP_MD2,Grup 2. Maçları,4-5-1,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,5-3-2,G1,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D1,D,2,15186858,989768,Nuno Mendes,Portugal,Uzbekistan,90.0,8.9,1.0,0.0,0.1681,0.352626
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D2,D,2,15186957,759520,Denzel Dumfries,Netherlands,Sweden,90.0,8.8,0.0,2.0,0.0,0.417216
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D3,D,2,15186798,829207,Richie Laryea,Canada,Qatar,90.0,8.8,0.0,0.0,0.0273,0.783665
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D4,D,2,15186798,984419,Alistair Johnston,Canada,Qatar,90.0,8.6,0.0,0.0,0.0541,1.28156
2,GROUP_MD2,Grup 2. Maçları,5-3-2,D5,D,2,15186499,223340,Shoja Khalilzadeh,Iran,Belgium,90.0,8.4,0.0,0.0,0.0229,0.00499696
2,GROUP_MD2,Grup 2. Maçları,5-3-2,M1,M,3,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,5-3-2,M2,M,3,15186769,818244,Ousmane Dembélé,France,Iraq,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,5-3-2,M3,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,5-3-2,F1,F,4,15186963,985823,Ayase Ueda,Japan,Tunisia,84.0,9.6,2.0,1.0,0.5374,0.345397
2,GROUP_MD2,Grup 2. Maçları,5-3-2,F2,F,4,15186957,862967,Cody Gakpo,Netherlands,Sweden,89.0,9.5,2.0,1.0,1.164,0.472945
3,GROUP_MD3,Grup 3. Maçları,3-4-3,G1,G,1,15186821,556866,Gregor Kobel,Switzerland,Canada,90.0,8.9,0.0,0.0,0.0,0.0009527
3,GROUP_MD3,Grup 3. Maçları,3-4-3,D1,D,2,15186973,962012,Jan Paul van Hecke,Netherlands,Tunisia,90.0,9.1,1.0,0.0,0.122,0.216196
3,GROUP_MD3,Grup 3. Maçları,3-4-3,D2,D,2,15186861,869792,Gabriel Magalhães,Brazil,Scotland,90.0,8.1,0.0,0.0,0.0673,0.0206011
3,GROUP_MD3,Grup 3. Maçları,3-4-3,D3,D,2,15186732,1638685,Mateo Chávez,Mexico,Czechia,78.0,8.1,1.0,0.0,0.4262,0.0221911
3,GROUP_MD3,Grup 3. Maçları,3-4-3,M1,M,3,15186537,818244,Ousmane Dembélé,France,Norway,65.0,10.0,3.0,0.0,0.2915,0.0933236
3,GROUP_MD3,Grup 3. Maçları,3-4-3,M2,M,3,15186771,879694,Pape Gueye,Senegal,Iraq,33.0,9.9,2.0,1.0,0.3308,0.0847439
3,GROUP_MD3,Grup 3. Maçları,3-4-3,M3,M,3,15186676,991011,Jude Bellingham,England,Panama,71.0,9.3,1.0,1.0,0.1181,0.57002
3,GROUP_MD3,Grup 3. Maçları,3-4-3,M4,M,3,15186747,158213,Riyad Mahrez,Algeria,Austria,90.0,9.0,2.0,0.0,0.7523,0.0524448
3,GROUP_MD3,Grup 3. Maçları,3-4-3,F1,F,4,15186861,868812,Vinícius Júnior,Brazil,Scotland,90.0,9.3,2.0,0.0,3.0562,0.511597
3,GROUP_MD3,Grup 3. Maçları,3-4-3,F2,F,4,15186771,914309,Iliman Ndiaye,Senegal,Iraq,33.0,8.7,1.0,1.0,0.1158,0.170397
3,GROUP_MD3,Grup 3. Maçları,3-4-3,F3,F,4,15186887,1091116,Arda Güler,Türkiye,USA,90.0,8.6,1.0,0.0,0.6144,0.0798653
3,GROUP_MD3,Grup 3. Maçları,3-5-2,G1,G,1,15186821,556866,Gregor Kobel,Switzerland,Canada,90.0,8.9,0.0,0.0,0.0,0.0009527
3,GROUP_MD3,Grup 3. Maçları,3-5-2,D1,D,2,15186973,962012,Jan Paul van Hecke,Netherlands,Tunisia,90.0,9.1,1.0,0.0,0.122,0.216196
3,GROUP_MD3,Grup 3. Maçları,3-5-2,D2,D,2,15186861,869792,Gabriel Magalhães,Brazil,Scotland,90.0,8.1,0.0,0.0,0.0673,0.0206011
3,GROUP_MD3,Grup 3. Maçları,3-5-2,D3,D,2,15186732,1638685,Mateo Chávez,Mexico,Czechia,78.0,8.1,1.0,0.0,0.4262,0.0221911
3,GROUP_MD3,Grup 3. Maçları,3-5-2,M1,M,3,15186537,818244,Ousmane Dembélé,France,Norway,65.0,10.0,3.0,0.0,0.2915,0.0933236
3,GROUP_MD3,Grup 3. Maçları,3-5-2,M2,M,3,15186771,879694,Pape Gueye,Senegal,Iraq,33.0,9.9,2.0,1.0,0.3308,0.0847439
3,GROUP_MD3,Grup 3. Maçları,3-5-2,M3,M,3,15186676,991011,Jude Bellingham,England,Panama,71.0,9.3,1.0,1.0,0.1181,0.57002
3,GROUP_MD3,Grup 3. Maçları,3-5-2,M4,M,3,15186747,158213,Riyad Mahrez,Algeria,Austria,90.0,9.0,2.0,0.0,0.7523,0.0524448
3,GROUP_MD3,Grup 3. Maçları,3-5-2,M5,M,3,15186822,70996,Kevin De Bruyne,Belgium,New Zealand,72.0,9.0,1.0,0.0,0.512,0.520753
3,GROUP_MD3,Grup 3. Maçları,3-5-2,F1,F,4,15186861,868812,Vinícius Júnior,Brazil,Scotland,90.0,9.3,2.0,0.0,3.0562,0.511597
3,GROUP_MD3,Grup 3. Maçları,3-5-2,F2,F,4,15186771,914309,Iliman Ndiaye,Senegal,Iraq,33.0,8.7,1.0,1.0,0.1158,0.170397
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,G1,G,1,15186821,556866,Gregor Kobel,Switzerland,Canada,90.0,8.9,0.0,0.0,0.0,0.0009527
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,D1,D,2,15186973,962012,Jan Paul van Hecke,Netherlands,Tunisia,90.0,9.1,1.0,0.0,0.122,0.216196
