stage_order,stage_code,stage_label,round_number,round_name,analysis_position,position_rank,event_id,player_id,player_name,national_team_name,opponent_team_name,home_team_name,away_team_name,home_score,away_score,appearance_type,is_starter,stat_minutesPlayed,stat_rating,stat_goals,stat_goalAssist,stat_expectedGoals,stat_expectedAssists
2,GROUP_MD2,Grup 2. Maçları,2,,F,5,15186769,826643,Kylian Mbappé,France,Iraq,France,Iraq,3.0,0.0,starter,True,89.0,9.2,2.0,0.0,1.226,0.114001
2,GROUP_MD2,Grup 2. Maçları,2,,F,6,15186856,886363,Matheus Cunha,Brazil,Haiti,Brazil,Haiti,3.0,0.0,starter,True,64.0,9.2,2.0,0.0,0.8274,0.0133318
2,GROUP_MD2,Grup 2. Maçları,2,,F,7,15186798,935564,Jonathan David,Canada,Qatar,Canada,Qatar,6.0,0.0,starter,True,90.0,9.0,3.0,0.0,1.9759,0.0532509
2,GROUP_MD2,Grup 2. Maçları,2,,F,8,15186858,750,Cristiano Ronaldo,Portugal,Uzbekistan,Portugal,Uzbekistan,5.0,0.0,starter,True,90.0,8.6,2.0,0.0,1.5956,0.0344925
2,GROUP_MD2,Grup 2. Maçları,2,,F,9,15186905,794298,Deniz Undav,Germany,Côte d'Ivoire,Germany,Côte d'Ivoire,2.0,1.0,used_substitute,False,30.0,8.5,2.0,0.0,0.9933,0.0924657
2,GROUP_MD2,Grup 2. Maçları,2,,F,10,15186770,839956,Erling Haaland,Norway,Senegal,Norway,Senegal,3.0,2.0,starter,True,90.0,8.4,2.0,0.0,0.8373,0.135785
2,GROUP_MD2,Grup 2. Maçları,2,,G,1,15186906,40859,Eloy Room,Curaçao,Ecuador,Ecuador,Curaçao,0.0,0.0,starter,True,90.0,10.0,0.0,0.0,0.0,0.00104768
2,GROUP_MD2,Grup 2. Maçları,2,,G,2,15186499,791374,Alireza Beiranvand,Iran,Belgium,Belgium,Iran,0.0,0.0,starter,True,90.0,9.8,0.0,0.0,0.0,0.00216432
2,GROUP_MD2,Grup 2. Maçları,2,,G,3,15186957,994363,Bart Verbruggen,Netherlands,Sweden,Netherlands,Sweden,5.0,1.0,starter,True,90.0,8.3,0.0,0.0,0.0,0.00075884
2,GROUP_MD2,Grup 2. Maçları,2,,G,4,15186827,1048378,Mostafa Shobeir,Egypt,New Zealand,New Zealand,Egypt,1.0,3.0,starter,True,90.0,8.1,0.0,0.0,0.0,0.00979809
2,GROUP_MD2,Grup 2. Maçları,2,,G,5,15186906,588618,Hernán Galíndez,Ecuador,Curaçao,Ecuador,Curaçao,0.0,0.0,starter,True,90.0,8.0,0.0,0.0,0.0,0.00074187
2,GROUP_MD2,Grup 2. Maçları,2,,G,6,15186490,990408,Raúl Rangel,Mexico,South Korea,Mexico,South Korea,1.0,0.0,starter,True,90.0,8.0,0.0,0.0,0.0,0.00145839
2,GROUP_MD2,Grup 2. Maçları,2,,G,7,15186905,877977,Yahia Fofana,Côte d'Ivoire,Germany,Germany,Côte d'Ivoire,2.0,1.0,starter,True,90.0,8.0,0.0,0.0,0.0,0.00080954
2,GROUP_MD2,Grup 2. Maçları,2,,G,8,15186879,991709,Orlando Gill,Paraguay,Türkiye,Türkiye,Paraguay,0.0,1.0,starter,True,90.0,7.9,0.0,0.0,0.0,0.00320763
2,GROUP_MD2,Grup 2. Maçları,2,,G,9,15186499,70988,Thibaut Courtois,Belgium,Iran,Belgium,Iran,0.0,0.0,starter,True,90.0,7.8,0.0,0.0,0.0,4.329e-05
2,GROUP_MD2,Grup 2. Maçları,2,,G,10,15186740,828294,Yazeed Abu Laila,Jordan,Algeria,Jordan,Algeria,1.0,2.0,starter,True,90.0,7.7,0.0,0.0,0.0,0.00285643
2,GROUP_MD2,Grup 2. Maçları,2,,M,1,15186858,288205,Bruno Fernandes,Portugal,Uzbekistan,Portugal,Uzbekistan,5.0,0.0,starter,True,90.0,8.7,0.0,1.0,0.1203,0.478601
2,GROUP_MD2,Grup 2. Maçları,2,,M,2,15186769,818244,Ousmane Dembélé,France,Iraq,France,Iraq,3.0,0.0,starter,True,68.0,8.7,1.0,1.0,0.644,0.477185
2,GROUP_MD2,Grup 2. Maçları,2,,M,3,15186798,886223,Stephen Eustaquio,Canada,Qatar,Canada,Qatar,6.0,0.0,starter,True,90.0,8.6,0.0,0.0,0.0236,0.306317
2,GROUP_MD2,Grup 2. Maçları,2,,M,4,15186827,159665,Mohamed Salah,Egypt,New Zealand,New Zealand,Egypt,1.0,3.0,starter,True,85.0,8.6,1.0,1.0,0.5575,0.263478
2,GROUP_MD2,Grup 2. Maçları,2,,M,5,15186798,1093229,Nathan-Dylan Saliba,Canada,Qatar,Canada,Qatar,6.0,0.0,used_substitute,False,33.0,8.5,1.0,1.0,0.1423,0.178963
2,GROUP_MD2,Grup 2. Maçları,2,,M,6,15186806,1518931,Johan Manzambi,Switzerland,Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,4.0,1.0,used_substitute,False,19.0,8.4,2.0,0.0,0.5113,0.0155235
2,GROUP_MD2,Grup 2. Maçları,2,,M,7,15186806,872919,Rubén Vargas,Switzerland,Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,4.0,1.0,used_substitute,False,19.0,8.4,1.0,1.0,0.3643,0.201255
2,GROUP_MD2,Grup 2. Maçları,2,,M,8,15186499,135666,Leandro Trossard,Belgium,Iran,Belgium,Iran,0.0,0.0,starter,True,90.0,8.3,0.0,0.0,0.056,0.52655
2,GROUP_MD2,Grup 2. Maçları,2,,M,9,15186840,827606,Rodri,Spain,Saudi Arabia,Spain,Saudi Arabia,4.0,0.0,starter,True,90.0,8.3,0.0,0.0,0.0387,0.108613
2,GROUP_MD2,Grup 2. Maçları,2,,M,10,15186770,845286,Ismaïla Sarr,Senegal,Norway,Norway,Senegal,3.0,2.0,starter,True,90.0,8.2,2.0,0.0,1.2062,0.0547929
