player_id,player_name,team_name,matches_with_heatmap,heatmap_point_count,grid_x,grid_y,npz_key
975798,Malik Tillman,USA,5,339,21,14,975798
1413129,Luc De Fougerolles,Canada,5,337,21,14,1413129
989801,Juan Cáceres,Paraguay,5,329,21,14,989801
829207,Richie Laryea,Canada,5,328,21,14,829207
967032,Emam Ashour,Egypt,5,328,21,14,967032
865500,Roberto Alvarado,Mexico,5,327,21,14,865500
870360,Daniel Muñoz,Colombia,5,327,21,14,870360
866469,Bruno Guimarães,Brazil,5,318,21,14,866469
856714,Declan Rice,England,5,311,21,14,856714
107414,James Rodríguez,Colombia,5,308,21,14,107414
546416,Andrés Cubas,Paraguay,5,308,21,14,546416
883537,Luis Díaz,Colombia,5,302,21,14,883537
138892,João Cancelo,Portugal,5,298,21,14,138892
910031,Alex Baena,Spain,5,295,21,14,910031
1031283,David Møller Wolfe,Norway,5,295,21,14,1031283
831799,Nahuel Molina,Argentina,5,293,21,14,831799
770253,Jesús Gallardo,Mexico,5,290,21,14,770253
868812,Vinícius Júnior,Brazil,5,280,21,14,868812
22209,Ørjan Nyland,Norway,5,273,21,14,22209
159665,Mohamed Salah,Egypt,5,268,21,14,159665
991709,Orlando Gill,Paraguay,5,255,21,14,991709
125787,Camilo Vargas,Colombia,5,254,21,14,125787
1048378,Mostafa Shobeir,Egypt,5,235,21,14,1048378
309078,Alexander Sørloth,Norway,5,233,21,14,309078
973290,Tajon Buchanan,Canada,5,233,21,14,973290
990408,Raúl Rangel,Mexico,5,233,21,14,990408
879349,Pedro Neto,Portugal,5,232,21,14,879349
960441,Charles De Ketelaere,Belgium,5,231,21,14,960441
934386,Jérémy Doku,Belgium,5,228,21,14,934386
333275,Junior Alonso,Paraguay,5,227,21,14,333275
944660,Thiago Almada,Argentina,5,224,21,14,944660
935564,Jonathan David,Canada,5,222,21,14,935564
1014845,Sebastian Berhalter,USA,5,220,21,14,1014845
1418782,Mostafa Ziko,Egypt,5,213,21,14,1418782
914902,Anthony Gordon,England,5,210,21,14,914902
843115,Diogo Costa,Portugal,5,206,21,14,843115
158243,Nicolás Tagliafico,Argentina,5,205,21,14,158243
973556,Julio Enciso,Paraguay,5,204,21,14,973556
966547,Noni Madueke,England,5,199,21,14,966547
220833,Gustavo Gómez,Paraguay,5,197,21,14,220833
1063767,Ismael Saibari,Morocco,5,193,21,14,1063767
243609,Alisson,Brazil,5,192,21,14,243609
906021,Sergiño Dest,USA,5,188,21,14,906021
155736,Maxime Crépeau,Canada,5,187,21,14,155736
929620,Fabian Rieder,Switzerland,5,182,21,14,929620
873554,Omar Marmoush,Egypt,5,180,21,14,873554
886363,Matheus Cunha,Brazil,5,176,21,14,886363
901325,Nicolás González,Argentina,5,172,21,14,901325
839956,Erling Haaland,Norway,5,158,21,14,839956
851284,Rafael Leão,Portugal,5,149,21,14,851284
1172477,Tani Oluwaseyi,Canada,5,148,21,14,1172477
805427,Gustavo Velázquez,Paraguay,5,144,21,14,805427
157377,Silvan Widmer,Switzerland,5,138,21,14,157377
879746,Leo Østigård,Norway,5,136,21,14,879746
989056,Giovanni Reyna,USA,5,135,21,14,989056
1605921,Samir El Mourabet,Morocco,5,133,21,14,1605921
914213,Luis Javier Suárez,Colombia,5,132,21,14,914213
948261,Morgan Rogers,England,5,116,21,14,948261
976313,Jacob Shaffelburg,Canada,5,111,21,14,976313
1015292,Richard Ríos,Colombia,5,110,21,14,1015292
1142675,Chemsdine Talbi,Morocco,5,107,21,14,1142675
986395,Ricardo Pepi,USA,5,105,21,14,986395
979128,Rayan Cherki,France,5,89,21,14,979128
577726,Ramy Bensebaini,Algeria,4,504,21,14,577726
259117,Joshua Kimmich,Germany,4,477,21,14,259117
122810,Aïssa Mandi,Algeria,4,476,21,14,122810
962012,Jan Paul van Hecke,Netherlands,4,464,21,14,962012
227672,Jonathan Tah,Germany,4,461,21,14,227672
151545,Virgil van Dijk,Netherlands,4,438,21,14,151545
1002524,Pedro Vite,Ecuador,4,429,21,14,1002524
1019322,Florian Wirtz,Germany,4,403,21,14,1019322
